id_clasificacion;id_clasificacion_dep;descripcion;nivel_clasificacion
717;116;CHILE;4
718;116;CILANTRO;4
719;116;COL;4
720;116;COLIFLOR;4
721;116;EJOTE;4
722;116;ELOTE;4
723;116;EPAZOTE;4
724;116;ESPINACAS;4
725;116;FLOR DE CALABAZA;4
726;116;HABA;4
727;116;HIERBABUENA;4
728;116;HIERBAS DE OLOR;4
729;116;HOJA DELGADA;4
730;116;JITOMATE;4
731;116;LECHUGA;4
732;116;LIMON;4
733;116;LITCHES;4
734;116;MALVA;4
735;116;NECTARINE;4
736;116;NOPAL;4
737;116;PAPA;4
738;116;PEPITA;4
739;116;PEPINO;4
740;116;PERA;4
741;116;PEREJIL;4
742;116;PERSIMON;4
743;116;PIMIENTO MORRON;4
744;116;PORO;4
745;116;RABANO;4
746;116;ROMERO;4
747;116;TE LIMON;4
748;116;TEJOCOTE;4
749;116;TOMATE;4
750;116;TOMATILLO;4
751;116;VERDOLAGAS;4
752;116;XOCONOTCHTLE;4
753;116;ZANAHORIA;4
754;116;ZAPOTE;4
755;116;ZETAS;4
756;87;ACIDO MURIATICO;4
757;114;ARANDANO;4
758;114;BETABEL BOLA;4
759;114;CANA;4
760;114;CEREZA;4
761;114;CHABACANO;4
762;114;CHIRIMOYA;4
763;114;CIRUELA;4
764;114;COCO;4
765;114;DURAZNO;4
766;114;ESPARRAGOS;4
767;114;FRAMBUESA;4
768;114;FRESA;4
769;114;GRANADA;4
770;114;GUANABANA;4
771;114;GUAYABA;4
772;114;HIGO;4
773;114;JICAMA;4
774;114;KIWI;4
775;114;LIMA;4
776;114;MAMEY;4
777;114;MANDARINA;4
778;114;MANGO;4
779;114;MANZANA;4
780;114;MELON;4
781;114;MORAS;4
782;114;NARANJA;4
783;114;PAPAYA;4
784;114;PERAS;4
785;114;PERON;4
786;114;PINA;4
787;114;PITAHAYAS;4
788;114;PLATANO;4
789;114;SANDIA;4
790;114;TORONJA;4
791;114;UVA;4
792;114;ZARZAMORA;4
793;74;PRODUCTOS DE PROTECCION SOLAR;4
794;1;CRISTALERIA;1
796;794;Cubetas;2
797;796;Cubeta;3
798;797;Plastico;4
799;797;Metal;4
821;794;TINAS O BANERAS;2
822;821;TINAS;3
823;822;TINA;4
824;821;BANERAS;3
825;824;BANERA;4
826;794;CRISTALERIA 1;2
827;826;CRISTALERIA 2;3
828;827;CONTENEDORES PARA ALMACENAR ALIMENTOS DOMESTICOS;4
829;827;BANERAS Y TINAS;4
830;827;CUBETAS 1;4
831;827;PLATOS, UTENSILIOS PARA SERVIR Y RECIPIENTES PARA ALMACENAR;4
832;827;RECIPIENTES DE PLASTICO;4
833;827;JARRAS PARA USO DOMESTICO;4
834;827;EXPRIMIDORES DE JUGO PARA USO DOMESTICO;4
835;827;ESCURRIDOR DE PLATOS;4
836;827;UTENCILIOS DE COCINA DOMESTICOS;4
837;108;CONECTORES COAXIALES;4
838;108;DIVISORES O SPLITTERS;4
839;108;MAQUINAS SOLDADORAS;4
840;108;CALENTADORES DE INMERSION;4
841;108;FUSIBLE ELECTRONICO;4
842;108;GRAPAS PARA CABLES;4
844;108;RECEPTACULOS ELECTRICOS;4
845;108;CINTA ASILANTE ELECTRICA;4
846;108;LAMPARAS FLOURESCENTES;4
847;108;LAMPARAS INCANDESCENTES;4
848;108;LAMPARAS HALOGENAS;4
849;827;CACEROLAS PARA USO DOMESTICO;4
850;827;OLLAS PARA USO DOMESTICO;4
851;827;VASOS DE VIDRIO;4
852;827;BATERIA DE COCINA DOMESTICA;4
853;827;TAZONES PARA HERVIR PARA USO DOMESTICO;4
854;827;BANDEJAS DE HORNO PARA USO DOMESTICO;4
855;827;TETERAS O CAFETERAS PARA USO DOMESTICO;4
856;827;SARTENES PARA USO DOMESTICO;4
857;827;COPAS PARA USO DOMESTICO;4
859;827;CRISTALERIA DE USO DOMESTICO;4
860;827;VAJILLA FINA PARA SERVICIOS DE COMIDA;4
861;827;SOPERAS O ENSALADERAS PARA USO DOMESTICO;4
863;827;CRISTALERIA.;4
864;827;PLATOS GRANDES Y PEQUENOS DE VIDRIO.;4
865;827;TAZONES PARA SERVIR PARA USO DOMESTICO;4
866;827;Equipos para camping y exteriores;4
867;1;RESTAURANTE;1
868;867;Fast Food;2
871;2;CATEGORIA FANTASMA;2
872;39;CUERITOS EN VINAGRE;4
873;1;PLASTICOS;1
874;873;PLASTICOS P/HOGAR;2
875;874;UTENCILIOS DE PLASTICOS;3
876;875;GARRAFONES;4
877;53;CHILES GUEROS;4
878;827;Cucharones;4
879;827;Escurridor;4
880;827;Pocillos;4
881;827;VAPORERA;4
882;827;BUDINERAS;4
883;827;ARROCERA;4
884;827;JARRA ALUMINIO;4
885;827;VASO ALUMINIO;4
886;827;MOLDE ALUMINIO;4
887;827;PAELLERA;4
888;827;REFRACTARIO;4
889;827;ATOMIZADOR;4
890;827;COLADOR;4
891;827;LICUADORAS;4
892;1;aceite;1
